date,amount,price,sid,symbol,value
2024-03-15 00:00:00+00:00,33,47250.0,4,MWG,-1559250.0
2024-03-15 00:00:00+00:00,217,30450.0,5,STB,-6607650.0
2024-03-15 00:00:00+00:00,-101,18750.0,8,VPB,1893750.0
2024-03-19 00:00:00+00:00,-53840,23200.0,2,MBB,1249088000.0
2024-03-19 00:00:00+00:00,9277,46000.0,4,MWG,-426742000.0
2024-03-19 00:00:00+00:00,-41462,30300.0,5,STB,1256298600.0
2024-03-19 00:00:00+00:00,39247,42350.0,7,VHM,-1662110450.0
2024-03-19 00:00:00+00:00,23629,18200.0,8,VPB,-430047800.0
2024-03-21 00:00:00+00:00,84570,30350.0,1,HPG,-2566699500.0
2024-03-21 00:00:00+00:00,-35997,48500.0,4,MWG,1745854500.0
2024-03-21 00:00:00+00:00,-39247,42850.0,7,VHM,1681733950.0
2024-03-21 00:00:00+00:00,45252,18750.0,8,VPB,-848475000.0
2024-03-25 00:00:00+00:00,-28535,30550.0,1,HPG,871744250.0
2024-03-25 00:00:00+00:00,39996,43000.0,7,VHM,-1719828000.0
2024-03-25 00:00:00+00:00,-44982,18800.0,8,VPB,845661600.0
2024-03-27 00:00:00+00:00,-56035,30900.0,1,HPG,1731481500.0
2024-03-27 00:00:00+00:00,55862,31000.0,5,STB,-1731722000.0
2024-03-27 00:00:00+00:00,512,42900.0,7,VHM,-21964800.0
2024-03-27 00:00:00+00:00,-91056,19650.0,8,VPB,1789250400.0
2024-03-27 00:00:00+00:00,65596,26350.0,9,VRE,-1728454600.0
2024-03-29 00:00:00+00:00,-55862,32250.0,5,STB,1801549500.0
2024-03-29 00:00:00+00:00,20100,43400.0,7,VHM,-872340000.0
2024-03-29 00:00:00+00:00,36718,25950.0,9,VRE,-952832100.0
2024-04-02 00:00:00+00:00,57934,29900.0,1,HPG,-1732226600.0
2024-04-02 00:00:00+00:00,-19959,42700.0,7,VHM,852249300.0
2024-04-02 00:00:00+00:00,-34461,25700.0,9,VRE,885647700.0
2024-04-04 00:00:00+00:00,221,29950.0,1,HPG,-6618950.0
2024-04-04 00:00:00+00:00,57865,30100.0,5,STB,-1741736500.0
2024-04-04 00:00:00+00:00,-40649,42800.0,7,VHM,1739777200.0
2024-04-04 00:00:00+00:00,450,25800.0,9,VRE,-11610000.0
2024-04-08 00:00:00+00:00,-58155,29450.0,1,HPG,1712664750.0
2024-04-08 00:00:00+00:00,72898,23400.0,2,MBB,-1705813200.0
2024-04-08 00:00:00+00:00,-359,29300.0,5,STB,10518700.0
2024-04-08 00:00:00+00:00,610,24800.0,9,VRE,-15128000.0
2024-04-10 00:00:00+00:00,-2195,24300.0,2,MBB,53338500.0
2024-04-10 00:00:00+00:00,705,29300.0,5,STB,-20656500.0
2024-04-10 00:00:00+00:00,1205,24250.0,9,VRE,-29221250.0
2024-04-12 00:00:00+00:00,-17674,23850.0,2,MBB,421524900.0
2024-04-12 00:00:00+00:00,17540,71800.0,3,MSN,-1259372000.0
2024-04-12 00:00:00+00:00,-14556,29100.0,5,STB,423579600.0
2024-04-12 00:00:00+00:00,-17422,23950.0,9,VRE,417256900.0
